# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s), Angle (Deg)
1,	0.9903, 0
2,	3.7637, -10
3,	4.3580, 10
2,	5.3483, -20
3,	6.3386, 20
2,	7.1305, -30
3,	8.1208, 30
2,	8.9136, -40
3,	9.7055, 40
2,	10.4974, -50
3,	11.2901,50
2,	12.0820, -70
3,	12.8748,70
3,  14.460, 10
2,	15.2513, -10
3,	16.0432, 20
2,	16.8360,-20
3,	17.6279,30
2,	18.4206,-30
3,	19.2125,40
2,	20.0053,-40
3,	20.7972,50
2,	21.5891,-50
3,	23.3721,-10
2,	23.9665,10
3,	24.7584,-20
2,	25.5511,20
3,	26.3430,-30
2,	26.9374,30
3,	27.5317,-40
2,	28.1252,40
3,	28.7196,50
