# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s),    Angles(in deg)
1,	1.5846, 0
2,	5.7434, -10
3,	6.7337, 10
2,	7.7240, -20
3,	8.7143, 20
2,	9.7054, -30
3,	10.8933,30
2,	11.8836,-40
3,	12.8739,40
2,	13.8642,-50
3,	14.8545,50 
3,	17.6278,10
2,	18.8157,-10
3,	19.8060,20
2,	20.9947,-20
3,	22.1834,30
2,	24.3615,-30
3,	25.7486,40
2,	26.9365,-40
1,	29.9074,0
2,	36.4435,-10
3,	37.4338,10
2,	38.6225,-20
3,	39.6128,20
2,	40.6031,-30
3,	41.7918,30
2,	42.7821,-40
3,	43.9708,40
2,	45.1587,-50
3,	46.1490,50
2,  47.969,-10
3,  49.1199, 10
3,	50.5070, 20
2,	51.6948, -20
3,	52.6851, 30
2,	53.8738, -30
3,	54.8641, 40
2,	55.8544, -40
3,	57.0431, 50
2,	58.0334, -50
3,	60.6084, 10
2,	61.5987, -20
3,	62.7865, 20
2,	63.9752, -30
3,	65.1631, 30
2,	66.3518, -40
3,	67.5405, 40
2,	68.5308, -50
3,	69.5211, 50
